index,loss,correct,total_logprob,partial_credit
0,0.2394707202911377,1,-0.3931213617324829,1.0
1,0.24286536872386932,1,-0.40747708082199097,1.0
2,0.2062731683254242,1,-0.4582771360874176,1.0
3,0.27477914094924927,1,-0.45599010586738586,1.0
4,0.26159125566482544,1,-0.40860515832901,1.0
5,0.2879335582256317,1,-0.39614787697792053,1.0
6,0.1993362009525299,1,-0.41215959191322327,1.0
7,0.1628098487854004,1,-0.4594559669494629,1.0
8,0.23699307441711426,1,-0.4551429748535156,1.0
9,0.22357213497161865,1,-0.6216914057731628,1.0
10,0.17680490016937256,1,-0.4729565978050232,1.0
11,0.29328516125679016,1,-0.33522817492485046,1.0
12,0.1682852953672409,1,-0.41777265071868896,1.0
13,0.22448237240314484,1,-0.43179410696029663,1.0
14,0.16533535718917847,1,-0.36406010389328003,1.0
15,0.26857495307922363,1,-0.39140647649765015,1.0
16,0.1758693903684616,1,-0.31960034370422363,1.0
17,0.37056297063827515,1,-0.4829116463661194,1.0
18,0.21965092420578003,1,-0.3881019949913025,1.0
19,0.19090330600738525,1,-0.38878947496414185,1.0
20,0.28643104434013367,1,-0.35171714425086975,1.0
21,0.19197992980480194,1,-0.3565688729286194,1.0
22,0.1855810284614563,1,-0.4245070815086365,1.0
23,0.166756734251976,1,-0.43017977476119995,1.0
24,0.22713804244995117,1,-0.4269734025001526,1.0
25,0.20876337587833405,1,-0.4834445118904114,1.0
26,0.2186298370361328,1,-0.459655225276947,1.0
27,0.19621220231056213,1,-0.38033878803253174,1.0
28,0.18219304084777832,1,-0.44173896312713623,1.0
29,0.14933140575885773,1,-0.3371451497077942,1.0
30,0.22860687971115112,1,-0.47742319107055664,1.0
31,0.1518644243478775,1,-0.38725852966308594,1.0
32,0.1435832977294922,1,-0.4020916223526001,1.0
